Ticket_ID,Employee_ID,Category,Priority,Issue_Type,Created_Date,Resolved_Date,Status,Assigned_To,Resolution_Time_Hours
1,57,Email,Low,Email delivery failure,2025-01-31 20:50:17,2025-02-01 19:20:17,Resolved,7,22.5
2,43,Email,Medium,Spam issue,2025-07-22 13:01:29,,In Progress,12,
3,21,Software,Low,License issue,2026-06-06 17:12:47,2026-06-12 17:42:47,Resolved,8,144.5
4,21,Hardware,Low,Disk failure,2026-03-14 06:57:43,,Reopened,2,
5,35,Software,Medium,License issue,2025-09-29 01:59:46,2025-09-30 09:35:46,Closed,15,31.6
6,16,Network,Low,WiFi issue,2026-02-26 22:19:00,2026-02-28 18:07:00,Closed,10,43.8
7,52,Security,Medium,Antivirus alert,2025-08-21 12:49:27,2025-08-21 16:55:27,Closed,2,4.1
8,57,Software,Low,Application crash,2026-07-31 15:39:00,2026-07-31 23:45:00,Resolved,5,8.1
9,19,Email,Low,Spam issue,2025-06-08 03:19:44,2025-06-08 06:13:44,Resolved,14,2.9
10,17,Email,Medium,Email not syncing,2025-03-13 16:34:05,2025-03-15 16:52:05,Resolved,14,48.3
11,18,Hardware,Low,Printer issue,2026-05-10 20:39:14,,Reopened,3,
12,48,Access Request,Medium,Permission change,2026-03-12 16:03:42,,Open,2,
13,57,Security,Critical,Antivirus alert,2025-01-28 23:36:47,2025-01-29 03:18:47,Closed,10,3.7
14,36,Software,Medium,Application crash,2025-08-28 10:21:07,2025-08-29 15:57:07,Resolved,15,29.6
15,51,Hardware,High,Printer issue,2026-06-14 18:38:40,,In Progress,2,
16,23,Email,High,Outlook crash,2026-04-28 01:58:08,2026-04-28 02:58:08,Closed,15,1
17,60,Software,High,License issue,2025-11-17 05:43:29,,Open,12,
18,60,Network,High,WiFi issue,2026-06-05 07:58:26,2026-06-07 01:58:26,Closed,13,42.0
19,16,Network,Low,No internet access,2025-10-25 03:05:40,2025-10-28 16:47:40,Closed,14,85.7
20,31,Software,Low,Update failure,2025-09-29 14:06:19,2025-09-30 01:36:19,Resolved,13,11.5
21,56,Software,Low,License issue,2025-11-06 11:56:39,2025-11-06 21:32:39,Resolved,14,9.6
22,5,Network,Medium,LAN port down,2025-11-07 10:32:42,2025-11-07 15:26:42,Resolved,14,4.9
23,35,Network,Critical,No internet access,2025-07-22 21:24:15,,In Progress,5,
24,3,Hardware,Medium,Monitor not working,2026-07-20 21:03:51,2026-07-21 05:45:51,Closed,7,8.7
25,39,Email,Low,Email delivery failure,2025-05-28 15:19:30,2025-05-30 03:01:30,Resolved,12,35.7
26,28,Hardware,Medium,Disk failure,2026-06-18 11:56:42,2026-06-19 01:32:42,Closed,12,13.6
27,48,Security,Low,Data breach report,2025-02-24 08:24:22,2025-02-25 00:54:22,Closed,15,16.5
28,22,Email,Low,Email not syncing,2026-07-14 01:11:30,2026-07-15 22:35:30,Closed,9,45.4
29,20,Security,Medium,Data breach report,2026-06-26 12:54:24,2026-06-26 16:30:24,Resolved,3,3.6
30,13,Access Request,Medium,Permission change,2026-06-11 02:07:17,2026-06-11 10:25:17,Closed,3,8.3
31,40,Email,Low,Email delivery failure,2025-01-01 07:34:02,2025-01-02 05:28:02,Resolved,4,21.9
32,28,Email,Medium,Spam issue,2025-12-28 04:00:29,2025-12-28 18:36:29,Resolved,11,14.6
33,14,Email,Medium,Mailbox full,2026-05-27 17:52:05,,Open,9,
34,43,Security,Medium,Phishing report,2026-08-07 10:13:47,,In Progress,5,
35,15,Software,Low,Application crash,2025-07-10 04:11:44,,Reopened,10,
36,55,Hardware,Medium,Disk failure,2025-06-01 00:32:07,2025-06-02 13:26:07,Closed,7,36.9
37,32,Access Request,Low,New system access,2026-08-07 06:59:32,2026-08-07 17:41:32,Closed,15,10.7
38,7,Access Request,Low,VPN access,2025-12-27 19:50:15,,Open,4,
39,59,Hardware,Medium,Keyboard/Mouse issue,2026-06-03 12:33:03,2026-06-04 05:51:03,Resolved,9,17.3
40,39,Network,Critical,WiFi issue,2026-04-21 20:40:01,2026-04-22 00:16:01,Closed,15,3.6
41,33,Access Request,High,VPN access,2025-12-13 08:25:55,2025-12-13 09:25:55,Closed,12,1
42,56,Access Request,Medium,Password reset,2026-05-11 06:52:14,2026-05-12 05:16:14,Resolved,13,22.4
43,34,Access Request,Medium,Account locked,2025-12-08 15:49:10,,Open,5,
44,16,Network,Low,LAN port down,2025-03-04 14:04:35,,In Progress,4,
45,25,Security,Low,Malware detected,2025-02-19 21:18:45,2025-02-20 06:18:45,Resolved,6,9.0
46,35,Access Request,Medium,Password reset,2025-11-23 08:02:34,2025-11-23 09:38:34,Resolved,13,1.6
